               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026499,           0.0069258,                   0,             0.99158,                0.92,             0.95304,             0.53015,            0.029483,           0.0044947,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028093,           0.0077564,                   0,             0.98645,                0.92,             0.95439,              0.5965,            0.027444,           0.0045182,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.028684,           0.0076273,                   0,             0.97159,                0.92,             0.95461,             0.59512,            0.027487,           0.0046368,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028748,            0.006707,                   0,             0.99059,                0.96,             0.95603,             0.56907,            0.030406,           0.0045823,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027792,           0.0072495,                   0,             0.98891,                0.96,             0.95631,              0.5584,            0.028791,            0.004419,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.026865,           0.0070448,                   0,             0.99083,                0.96,             0.95664,             0.60105,            0.031402,            0.004408,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.027191,           0.0064501,                   0,             0.98273,                0.96,             0.95672,             0.58004,            0.029259,           0.0044869,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026185,           0.0071562,                   0,             0.98027,                0.92,             0.95354,             0.60993,            0.026958,           0.0046147,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.025035,           0.0070493,                   0,             0.95671,                0.96,              0.9564,             0.53784,            0.028426,           0.0045786,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.027832,           0.0072786,                   0,             0.97628,                0.96,             0.95671,             0.53767,            0.029617,           0.0044575,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025456,           0.0063507,                   0,             0.98561,                0.96,             0.95652,             0.61093,            0.027251,           0.0043789,                   0,            0.005248,            0.005248,            0.005248
                  50,             0.02558,           0.0075992,                   0,             0.95943,                0.96,             0.95648,              0.5885,            0.025547,           0.0043527,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025225,           0.0067364,                   0,             0.95545,                0.96,             0.95143,             0.61216,            0.027148,           0.0043045,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025084,           0.0067924,                   0,             0.95461,                0.96,             0.94807,             0.62237,            0.026198,           0.0043528,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023403,           0.0064139,                   0,             0.95452,                0.96,             0.94983,              0.6435,            0.026225,           0.0042436,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.025289,           0.0065928,                   0,             0.95582,                0.96,             0.95312,             0.57864,            0.026958,           0.0042784,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023884,           0.0070787,                   0,             0.95383,                0.96,             0.95352,             0.64494,            0.025306,           0.0042777,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022935,           0.0060752,                   0,             0.95306,                0.96,             0.95221,             0.60767,            0.025927,           0.0042319,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025128,           0.0067217,                   0,             0.95341,                0.96,             0.95088,             0.64338,            0.025792,           0.0041914,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022993,           0.0061045,                   0,             0.95277,                0.96,             0.94942,             0.62728,            0.026974,           0.0041506,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022873,           0.0062893,                   0,             0.95326,                0.96,             0.95455,             0.63993,            0.025346,           0.0040002,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.023385,           0.0064759,                   0,             0.95493,                0.96,             0.95721,             0.61738,            0.025916,             0.00409,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021799,           0.0054198,                   0,             0.95325,                0.96,             0.95392,             0.63292,            0.027817,           0.0041095,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022067,           0.0063361,                   0,             0.95049,                0.96,             0.95532,             0.66355,            0.025693,           0.0041502,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021406,           0.0060621,                   0,             0.94988,                0.96,             0.95388,             0.60824,            0.028089,           0.0043333,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022618,           0.0057326,                   0,             0.95174,                0.96,             0.95374,             0.63661,            0.028195,           0.0042382,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021058,           0.0063371,                   0,             0.95135,                0.96,             0.95381,             0.63059,            0.027221,           0.0042034,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021078,           0.0059641,                   0,             0.95222,                0.96,             0.95402,             0.64918,            0.024941,           0.0042232,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020607,           0.0058688,                   0,             0.95374,                0.96,             0.95394,              0.6411,            0.023866,           0.0041813,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.02064,           0.0058052,                   0,             0.95447,                0.96,              0.9559,             0.63487,            0.024394,           0.0041878,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.020056,            0.005837,                   0,             0.95335,                0.96,             0.95622,             0.65354,            0.023935,           0.0042044,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.019916,           0.0059515,                   0,             0.95341,                0.96,             0.95294,             0.67435,            0.023741,           0.0040364,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.020888,           0.0062803,                   0,             0.95339,                0.96,             0.94963,             0.64416,             0.02469,           0.0040957,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.020803,            0.005717,                   0,             0.95158,                0.96,             0.94491,             0.65966,            0.024989,           0.0040698,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020184,           0.0060033,                   0,             0.95016,                0.96,               0.945,             0.64586,            0.026353,           0.0041232,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020812,           0.0061619,                   0,             0.95256,                0.96,             0.94338,             0.64074,            0.026908,           0.0042167,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.019892,           0.0059911,                   0,             0.95455,                0.96,             0.94199,             0.64432,            0.024615,           0.0042137,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018603,           0.0058496,                   0,             0.95508,                0.96,             0.94194,              0.6512,            0.025051,           0.0041926,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018922,           0.0054848,                   0,             0.95518,                0.96,              0.9384,             0.65058,            0.024976,           0.0041596,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018166,            0.005735,                   0,             0.95401,                0.96,             0.93494,             0.63335,            0.023906,           0.0042363,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018749,           0.0052303,                   0,             0.95353,                0.96,             0.93673,             0.65013,            0.023623,           0.0042676,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019094,           0.0057412,                   0,             0.95295,                0.96,             0.94158,             0.65156,            0.023787,           0.0042413,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.018797,           0.0056511,                   0,             0.95165,                0.96,             0.94799,             0.66283,            0.023403,           0.0043526,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.01834,           0.0056315,                   0,             0.95112,                0.96,             0.95131,             0.64887,            0.023988,           0.0043639,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.018512,           0.0056019,                   0,              0.9491,                0.96,             0.95133,             0.66592,            0.023503,           0.0043577,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.017996,           0.0054571,                   0,             0.94708,                0.96,             0.95144,             0.65372,            0.024042,           0.0043163,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.017397,           0.0055703,                   0,             0.94806,                0.96,             0.95156,              0.6745,            0.024529,           0.0042613,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.017648,           0.0053979,                   0,             0.94909,                0.96,             0.95024,             0.66568,            0.024346,             0.00425,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019309,            0.005802,                   0,             0.94891,                0.96,             0.95028,             0.63818,            0.024351,           0.0043052,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018018,           0.0056586,                   0,             0.95079,                0.96,             0.95205,             0.66738,             0.02437,           0.0043428,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017836,           0.0058621,                   0,             0.95347,                0.96,             0.95028,             0.64087,            0.024674,           0.0043815,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.016718,           0.0050822,                   0,             0.95469,                0.96,             0.94866,             0.64412,            0.024459,           0.0043831,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.016885,           0.0052852,                   0,             0.95495,                0.96,             0.94706,             0.64543,            0.024565,           0.0043718,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016517,           0.0055153,                   0,             0.95434,                0.96,             0.94537,             0.63815,            0.024564,           0.0043554,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017246,            0.005442,                   0,             0.95332,                0.96,             0.94211,             0.62934,            0.025004,           0.0043573,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.017103,           0.0055994,                   0,             0.95338,                0.96,             0.94056,             0.62991,            0.024899,           0.0043478,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.016991,           0.0051729,                   0,             0.95299,                0.96,             0.93737,             0.63102,            0.024583,           0.0043812,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.01612,           0.0052905,                   0,             0.95289,                0.96,             0.93739,             0.64098,            0.024371,           0.0043907,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016468,           0.0055503,                   0,             0.95268,                0.96,             0.93739,             0.64486,            0.024416,           0.0043743,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016068,           0.0055101,                   0,             0.95284,                0.96,              0.9375,             0.64192,            0.024386,           0.0043696,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016631,           0.0052614,                   0,             0.95223,                0.96,             0.93761,             0.64342,            0.024266,           0.0043721,                   0,            0.000298,            0.000298,            0.000298
